Path,Sample,FileName,Reference,Group,Outgroup,Type
./sra/,S01-0228-6,SRR9713447,bfrag,L01,0,PE
./sra/,S01-0228-7,SRR9713448,bfrag,L01,0,PE
./sra/,S01-0156-12,SRR9713449,bfrag,L01,0,PE
./sra/,S01-0259-5,SRR9713460,bfrag,L01,0,PE
./sra/,S01-0259-4,SRR9713461,bfrag,L01,0,PE
./sra/,S01-0259-30,SRR9713462,bfrag,L01,0,PE
./sra/,S01-0156-4,SRR9713465,bfrag,L01,0,PE
./sra/,S01-0156-6,SRR9713482,bfrag,L01,0,PE
./sra/,S01-0001-3,SRR9713483,bfrag,L01,0,PE
./sra/,S01-0156-5,SRR9713484,bfrag,L01,0,PE
./sra/,S01-0156-3,SRR9713486,bfrag,L01,0,PE
./sra/,S01-0156-2,SRR9713487,bfrag,L01,0,PE
./sra/,S01-0072-2,SRR9713488,bfrag,L01,0,PE
./sra/,S01-0072-3,SRR9713489,bfrag,L01,0,PE
./sra/,S01-0072-15,SRR9713490,bfrag,L01,0,PE
./sra/,S01-0072-16,SRR9713491,bfrag,L01,0,PE
./sra/,S01-0072-13,SRR9713524,bfrag,L01,0,PE
./sra/,S01-0072-14,SRR9713525,bfrag,L01,0,PE
./sra/,S01-0072-11,SRR9713526,bfrag,L01,0,PE
./sra/,S01-0072-12,SRR9713527,bfrag,L01,0,PE
./sra/,S01-0072-1,SRR9713528,bfrag,L01,0,PE
./sra/,S01-0072-10,SRR9713529,bfrag,L01,0,PE
./sra/,S01-0231-10,SRR9713543,bfrag,L01,0,PE
./sra/,S01-0231-1,SRR9713544,bfrag,L01,0,PE
./sra/,S01-0228-9,SRR9713545,bfrag,L01,0,PE
./sra/,S01-0228-8,SRR9713546,bfrag,L01,0,PE
./sra/,S01-0231-14,SRR9713547,bfrag,L01,0,PE
./sra/,S01-0231-13,SRR9713548,bfrag,L01,0,PE
./sra/,S01-0231-12,SRR9713549,bfrag,L01,0,PE
./sra/,S01-0231-11,SRR9713550,bfrag,L01,0,PE
./sra/,S01-0231-2,SRR9713551,bfrag,L01,0,PE
./sra/,S01-0231-15,SRR9713552,bfrag,L01,0,PE
./sra/,S01-0156-16,SRR9713561,bfrag,L01,0,PE
./sra/,S01-0156-15,SRR9713562,bfrag,L01,0,PE
./sra/,S01-0073-2,SRR9713565,bfrag,L01,0,PE
./sra/,S01-0073-3,SRR9713566,bfrag,L01,0,PE
./sra/,S01-0073-4,SRR9713567,bfrag,L01,0,PE
./sra/,S01-0073-5,SRR9713568,bfrag,L01,0,PE
./sra/,S01-0073-13,SRR9713569,bfrag,L01,0,PE
./sra/,S01-0073-14,SRR9713570,bfrag,L01,0,PE
./sra/,S01-0073-15,SRR9713571,bfrag,L01,0,PE
./sra/,S01-0073-16,SRR9713572,bfrag,L01,0,PE
./sra/,S01-0073-6,SRR9713573,bfrag,L01,0,PE
./sra/,S01-0073-7,SRR9713574,bfrag,L01,0,PE
./sra/,S01-0156-13,SRR9713585,bfrag,L01,0,PE
./sra/,S01-0001-13,SRR9713586,bfrag,L01,0,PE
./sra/,S01-0001-14,SRR9713587,bfrag,L01,0,PE
./sra/,S01-0001-15,SRR9713620,bfrag,L01,0,PE
./sra/,S01-0001-2,SRR9713621,bfrag,L01,0,PE
./sra/,S01-0001-1,SRR9713622,bfrag,L01,0,PE
./sra/,S01-0001-10,SRR9713623,bfrag,L01,0,PE
./sra/,S01-0001-11,SRR9713624,bfrag,L01,0,PE
./sra/,S01-0001-12,SRR9713625,bfrag,L01,0,PE
./sra/,S01-0001-4,SRR9713627,bfrag,L01,0,PE
./sra/,S01-0259-20,SRR9713644,bfrag,L01,0,PE
./sra/,S01-0259-2,SRR9713645,bfrag,L01,0,PE
./sra/,S01-0259-17,SRR9713648,bfrag,L01,0,PE
./sra/,S01-0259-16,SRR9713649,bfrag,L01,0,PE
./sra/,S01-0259-19,SRR9713650,bfrag,L01,0,PE
./sra/,S01-0259-18,SRR9713651,bfrag,L01,0,PE
./sra/,S01-0155-5,SRR9713659,bfrag,L01,0,PE
